Year,Player,Salary
2011,Artem Anisimov,"$765,000"
2011,Michal Neuvirth,"$765,000"
2011,Derek Stepan,"$712,500"
2011,Zach Hamill,"$787,500"
2011,Colten Teubert,"$875,000"
2011,Chet Pickard,"$875,000"
2011,Jonathon Blum,"$787,500"
2011,Tom McCollum,"$875,000"
2011,Thomas Hickey,"$787,500"
2011,Cody Hodgson,"$875,000"
2011,Logan Couture,"$787,500"
2011,Jake Allen,"$875,000"
2011,Alex Pietrangelo,"$875,000"
2011,Brian Sutherby,"$850,000"
2011,Shawn Thornton,"$825,000"
2011,Nick Petrecki,"$774,500"
2011,Kenndal McArdle,"$803,250"
2011,Trevor Lewis,"$803,250"
2011,James Sheppard,"$803,250"
2011,Sami Lepisto,"$800,000"
2011,Marek Svatos,"$800,000"
2011,Freddy Modin,"$800,000"
2011,Ville Leino,"$825,000"
2011,Devan Dubnyk,"$800,000"
2011,Brandon Prust,"$800,000"
2011,Cody Franson,"$800,000"
2011,Corey Crawford,"$850,000"
2011,Jack Campbell,$0
2011,Nikita Nikitin,"$800,000"
2011,Boyd Gordon,"$800,000"
2011,Nick Bonino,"$717,500"
2011,Leland Irving,"$765,000"
2011,Michael Grabner,"$765,000"
2011,Jonathan Bernier,"$765,000"
2011,Angelo Esposito,"$800,000"
2011,Colby Robak,"$712,500"
2011,Carl Klingberg,$0
2011,Ty Wishart,"$765,000"
2011,Justin Abdelkader,"$750,000"
2011,Cody Goloubef,"$737,500"
2011,Brett Ponich,$0
2011,Darcy Hordichuk,"$800,000"
2011,Tom Wandell,"$700,000"
2011,Nick Holden,"$875,000"
2011,Marcel Goc,"$775,000"
2011,Shawn Matthias,"$765,000"
2011,Dylan Olsen,$0
2011,Jeremy Morin,$0
2011,Theo Ruth,"$737,500"
2011,Boris Valabik,"$800,000"
2011,Jerred Smithson,"$775,000"
2011,Slava Voynov,"$712,500"
2011,Rob Schremp,"$750,750"
2011,Eric Godard,"$775,000"
2011,Vladimír Sobotka,"$750,000"
2011,Fredrik Sjostrom,"$750,000"
2011,Ruslan Salei,"$750,000"
2011,Mike Lundin,"$750,000"
2011,Aaron Rome,"$700,000"
2011,Eric Belanger,"$750,000"
2011,Paul Mara,"$750,000"
2011,Jesse Winchester,"$750,000"
2011,Viktor Stalberg,"$785,000"
2011,Alex Stalock,"$785,000"
2011,Al Montoya,"$750,000"
2011,Teddy Purcell,"$750,000"
2011,Patrick Eaves,"$750,000"
2011,Mat Clark,"$710,000"
2011,Devante Smith-Pelly,$0
2011,Chris VandeVelde,"$725,000"
2011,Bruno Gervais,"$740,833"
2011,David Savard,"$715,000"
2011,Matt Irwin,"$740,000"
2011,Brett MacLean,"$787,500"
2011,Aaron Palushaj,"$737,500"
2011,Luke Adam,"$687,500"
2011,Andy Greene,"$750,000"
2011,Nick Spaling,"$762,500"
2011,Dan Bertram,"$785,000"
2011,Marcus Krüger,"$590,000"
2011,Taylor Chorney,"$785,000"
2011,Colin Greening,"$735,000"
2011,Jori Lehterä,"$587,500"
2011,Yury Alexandrov,"$705,000"
2011,Darroll Powe,"$725,000"
2011,John Mitchell,"$725,000"
2011,Jared Boll,"$700,000"
2011,Tyler Kennedy,"$725,000"
2011,Jimmy Howard,"$800,000"
2011,Dustin Kohn,"$715,000"
2011,Brandon Manning,"$690,000"
2011,Landon Ferraro,$0
2011,Akim Aliu,"$737,500"
2011,Matt Calvert,"$687,500"
2011,Ben Maxwell,"$735,000"
2011,Kyle Clifford,"$685,000"
2011,Nicolas Deschamps,"$727,500"
