name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Christopher Tanev,VAN,D,Right,69,2,18,20,0.29,4,45,0.04,19:31,19.51666667,M-NTC,UFA,"$4,450,000",6.40%,0.064,"$5,250,000",38.53,39.94,39.26,41,45,20,32,140,159
Christian Wolanin,OTT,D,Left,3,0,0,0,0,1,4,0,17:41,17.68333333,,RFA,"$900,000",1.10%,0.011,"$800,000",54.92,56.52,44.76,0,2,0,0,3,4
Christian Folin,MTL,D,Right,15,1,1,2,0.13,-1,13,0.08,14:26,14.43333333,,UFA,"$800,000",1.00%,0.01,"$800,000",53.05,49.64,48.24,13,8,1,38,40,21
Christian Dvorak,ARI,W,Left,70,18,20,38,0.54,6,134,0.13,16:41,16.68333333,,UFA,"$4,450,000",5.60%,0.056,"$3,250,000",55.56,54.93,58.61,12,23,20,39,100,36
Christian Djoos,"ANA, WSH",D,Left,11,1,2,3,0.27,3,13,0.08,19:06,19.1,,RFA,"$1,250,000",1.50%,0.015,"$1,250,000",53.76,53.51,56.48,0,6,2,2,11,12
Chris Wagner,BOS,W,Right,67,6,4,10,0.15,-8,78,0.08,12:26,12.43333333,,UFA,"$1,250,000",1.60%,0.016,"$1,250,000",41.03,41.95,38.99,47,21,16,192,96,31
Chris Tierney,OTT,C,Left,71,11,26,37,0.52,-6,102,0.11,17:11,17.18333333,,RFA,"$2,937,500",3.70%,0.037,"$2,975,000",44.9,44.53,43.93,20,42,32,44,41,37
Chris Stewart,PHI,W,Right,17,0,1,1,0.06,-7,5,0,7:46,7.766666667,,UFA,"$753,757",0.90%,0.009,"$750,000",33.85,33.79,27.78,21,1,3,35,6,4
Chris Kreider,NYR,W,Left,63,24,21,45,0.71,13,156,0.15,17:14,17.23333333,M-NTC,UFA,"$4,625,000",6.30%,0.063,"$4,000,000",57.01,56.1,55.27,58,61,22,116,45,42
Chase De Leo,ANA,C,Left,1,0,0,0,0,0,1,0,14:59,14.98333333,,UFANo QO,"$750,000",0.90%,0.009,"$750,000",22.22,27.27,11.3,0,0,0,1,1,0
Charlie McAvoy,BOS,D,Right,67,5,27,32,0.48,24,101,0.05,23:09,23.15,,RFA,"$4,900,000",6.00%,0.06,"$3,700,000",50.81,51.47,53,41,68,37,131,177,131
Charlie Coyle,BOS,C,Right,70,16,21,37,0.53,9,145,0.11,16:47,16.78333333,,UFA,"$3,200,000",4.60%,0.046,"$4,250,000",53.88,53.9,57.34,21,33,48,83,79,34
Charles Hudon,MTL,W,Left,15,1,1,2,0.13,-9,22,0.05,11:32,11.53333333,,RFA,"$800,000",1.00%,0.01,"$800,000",55.59,53.42,49.87,0,2,5,25,18,2
Chandler Stephenson,"VGK, WSH",C,Left,65,11,15,26,0.4,24,73,0.15,14:19,14.31666667,,RFA,"$1,050,000",1.30%,0.013,"$1,050,000",53.08,54.49,54.11,16,22,37,52,73,32
